id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
1,HARMONY DESIGN LLC,RCN CAPITAL LLC,1301 LANCASTER AVE,WILMINGTON,2025-06-30,147200,140700
2,LIBERTY ONE HOMES LLC,HARD MONEY NJ LLC,13 BRADY CIR,MIDDLETOWN,2025-06-30,180000,220000
3,SALEM HVAC LLC,SHALLCROSS MORTGAGE COMPANY,110 W 24TH ST,WILMINGTON,2025-06-30,80000,150000
4,04M HOLDINGS LLC,BEELINE LOANS INC,12 EDGEBROOKE WAY,NEWARK,2025-06-30,275000,178750
5,BENGOL REAL ESTATES GROUP LLC,SHALLCROSS MORTGAGE COMPANY,120 COMMONWEALTH AVE,CLAYMONT,2025-06-30,280000,280000
6,RNB INVESTMENTS LLC,VONTIVE INC,37318 KESTREL WAY,OCEAN VIEW,2025-06-30,465000,418500
7,LSANDRITH LLC,SHALLCROSS MORTGAGE COMPANY,3210 FERNWOOD PL,WILMINGTON,2025-06-27,167000,200000
8,DBF GENERAL CONTRACTING LLC,SHALLCROSS MORTGAGE COMPANY,318 ATKINSON RD,WILMINGTON,2025-06-27,165000,210000
9,CRASH BOAT LLC,BELL ISLAND MORTGAGE INC,347 FAIRWAY LN,DAGSBORO,2025-06-27,285000,435000
10,GEORGETOWN OFFICES P2 LLC,STATE BANK,,GEORGETOWN,2025-06-27,2050000,1575000
11,HH CONTRIBUTION LLC,RFLF 4 LLC,51 VERDI CIR,NEWARK,2025-06-26,187000,218000
12,CAPSTONE HOMES LLC,COUNTY BANK,26030 HAYFIELD LN,MILLSBORO,2025-06-26,77000,245250
13,CAPSTONE HOMES LLC,COUNTY BANK,26018 HAYFIELD LN,MILLSBORO,2025-06-26,77000,226500
14,CAPSTONE HOMES LLC,COUNTY BANK,26006 HAYFIELD LN,MILLSBORO,2025-06-26,77000,226500
15,ZAHRAREALTY LLC,KIAVI FUNDING INC,760 E LOOCKERMAN ST,DOVER,2025-06-25,189500,173500
16,RHR HOLDINGS LLC,SPG CAPITAL FUND I LLC,833 W 5TH ST,WILMINGTON,2025-06-25,85000,130000
17,PRIORITY ONE REAL ESTATE SERVICES LLC,SHALLCROSS MORTGAGE COMPANY,125 E LAKE ST,MIDDLETOWN,2025-06-25,145000,210000
18,OIKOS PROPERTY INVESTMENTS LLC,STRATEGIC GROWTH CAPITAL LLC,23118 ARGOS CORNER RD,MILFORD,2025-06-25,125000,127200
19,BROADKILL VENTURES LLC,STONE JESSICA,34626 SAINT GEORGE RD,DELMAR,2025-06-25,100000,110000
20,PFL PROPERTIES LLC,STONE JESSICA,201 OLD MILL RD,DOVER,2025-06-24,200000,210000
21,TIMELESSFINDS LLC,NATIONAL LOAN FUNDING LLC,510 FOULK RD,WILMINGTON,2025-06-24,307000,357000
22,RBJ HOMES LLC,SPG CAPITAL FUND I LLC,1208 CONRAD ST,WILMINGTON,2025-06-24,50000,105000
23,SEAL ENTERPRISE LLC,STONE BAY HOLDINGS II LLC,1207 CONRAD ST,WILMINGTON,2025-06-24,50000,146000
24,DARERGO PROPERTIES LLC,ROMI CAPITAL LLC,38 WINBURNE DR,NEW CASTLE,2025-06-24,153240,180000
25,BIGG JIMS HOMES LLC,DOMINION FIN'L SERVICES LLC,36950 WELLS LN,MILLSBORO,2025-06-24,177000,262000
26,CABAZZA REALTY GROUP LLC,SHALLCROSS MORTGAGE COMPANY,56 S NEW ST,DOVER,2025-06-23,70000,150000
27,BROADKILL VENTURES LLC,STONE JESSICA,18406 PROGRESS SCHOOL RD,BRIDGEVILLE,2025-06-23,81000,80000
28,BIGG JIMS HOMES LLC,DOMINION FIN'L SERVICES LLC,2830 WOODYARD RD,HARRINGTON,2025-06-20,200000,273000
29,BRIGHTNOVA INC,COMMERCIAL LENDER LLC,421 E 2ND ST,WILMINGTON,2025-06-20,100000,152000
30,RIA ENTERPRISES INC,HARD MONEY NJ LLC,18 DENHAM AVE,CLAYMONT,2025-06-20,140000,120000
31,CARMA GROUP LLC,RCN CAPITAL LLC,108 HUNN RD,NEW CASTLE,2025-06-20,220000,243750
32,RVN SOLUTIONS LLC,PROSPERITY HOME MORTGAGE LLC,10 JAMES CT,NEWARK,2025-06-20,255000,204000
33,BIGG JIMS HOMES LLC,COOLDOG INVESTMENTS LLC,24532 DEEP BRANCH RD,GEORGETOWN,2025-06-20,162500,262500
34,TRATRAN LLC,BLUE GATE CAPITAL LLC,11 BENNETT POINT LN,OCEAN VIEW,2025-06-20,555000,416250
35,SEPA INVEST LLC,WHITE HARBOR LLC,402 MAPLE AVE,NEWPORT,2025-06-19,100000,193000
36,NAVY REAL ESTATE LLC,RFLF 4 LLC,557 BLACKBIRD GREENSPRING RD,SMYRNA,2025-06-18,250000,341250
37,DELAWARE AVE LLC,FIRST CITIZENS COMMUNITY BANK,3314 SILVERSIDE RD,WILMINGTON,2025-06-18,1300000,975000
38,DELAWARE AVE LLC,FIRST CITIZENS COMMUNITY BANK,3308 SILVERSIDE RD,WILMINGTON,2025-06-18,1300000,975000
39,DELAWARE AVE LLC,FIRST CITIZENS COMMUNITY BANK,2320 SHIPLEY RD,WILMINGTON,2025-06-18,1300000,975000
40,ZAHRA REALTY LLC,KIAVI FUNDING INC,102 KENWOOD LN,WILMINGTON,2025-06-17,212000,233300
41,NAVY REAL ESTATE LLC,RFLF 4 LLC,32 COLBY AVE,CLAYMONT,2025-06-17,80000,154400
42,MEJIA CONSTRUCTION LLC,BRRRR FUNDER LLC,52 CHADDWYCK BLVD,NEW CASTLE,2025-06-17,379500,303600
43,IMPERIO ENTERPRISES LLC,KIAVI FUNDING INC,2 HAZEL AVE,WILMINGTON,2025-06-16,215000,260500
44,WINSLOW DESIGN LLC,PAS MORTGAGE INC,25031 SALTWATER CIR,SELBYVILLE,2025-06-16,419200,427500
45,HASEB ENTERPRISE LLC,HAILSTONE JAMES,119 MECHANIC ST,HARRINGTON,2025-06-13,101000,152000
46,JOHNSON CAPITAL GROUP LLC,OUT EAST HOLDINGS LLC,621 E 22ND ST,WILMINGTON,2025-06-13,125000,165000
47,AMCAN CONSULTING LLC,RFLF 4 LLC,215 ALDERS DR,WILMINGTON,2025-06-13,300000,315000
48,NEXCASA PARTNERS LLC,ROSS CAPITAL PARTNERS LLC,1112 READ ST,WILMINGTON,2025-06-12,115000,160000
49,JJPI HOMES LLC,ROSS CAPITAL PARTNERS LLC,101 W 27TH ST,WILMINGTON,2025-06-12,137500,169000
50,211 NORFOLK LLC,ARTISANS' BANK,211 NORFOLK ST,REHOBOTH BEACH,2025-06-12,1875000,1835000
51,LPF 2017 LLC,ICE LENDER HOLDINGS LLC,2705 SPEAKMAN PL,WILMINGTON,2025-06-11,125000,152790
52,1522 W 7TH ST ASSOCIATES LLC,SHALLCROSS MORTGAGE COMPANY,1522 W 7TH ST,WILMINGTON,2025-06-11,420000,460000
53,BRIGHTNOVA INC,COMMERCIAL LENDER LLC,1818 W 4TH ST,WILMINGTON,2025-06-09,125000,165000
54,TASKI LLC,BANK OF OCEAN CITY,37231 SAND DOLLAR LN,SELBYVILLE,2025-06-09,760000,170000
55,MEADOW LANE INVESTMENT LLC,PROSPERITY HOME MORTGAGE LLC,33790 FREEPORT DR,LEWES,2025-06-09,589900,320500
56,APPLETON ENTERPRISES LLC,UNITED WHOLESALE MORTGAGE LLC,715 LEHIGH RD,NEWARK,2025-06-06,380000,273750
57,NAVY REAL ESTATE 4 LLC,RFLF 4 LLC,600 N BROOM ST,WILMINGTON,2025-06-06,450000,448000
58,UPPER ROOM GROUP LLC,KIAVI FUNDING INC,17 ALVIL RD,WILMINGTON,2025-06-06,195000,243800
59,BLU BIRD HOLDINGS INC,LARRYS LATE NIGHT LENDING LLC,206 WHITHERSPOON LN,NEWARK,2025-06-06,155000,215000
60,NEST RE LLC,RRR GROUP INC,2701 JESSUP ST,WILMINGTON,2025-06-06,78000,118000
61,FRIULI BUILDING GROUP LLC,AAR LENDING LLC,609 SOUTH ST,HISTORIC NEW CASTLE,2025-06-06,195000,210000
62,CELIS HOMES LLC,KIAVI FUNDING INC,730 E 22ND ST,WILMINGTON,2025-06-06,110000,130500
63,PIZARRO & SONS PROPERTIES LLC,ROSS CAPITAL PARTNERS LLC,415 N CLAYTON ST,WILMINGTON,2025-06-06,115000,138000
64,JJPI HOMES LLC,ROSS CAPITAL PARTNERS LLC,407 TOWNSEND ST,WILMINGTON,2025-06-06,150000,150000
65,NASSAU GENERAL CONSULTING LLC,MORGAN STANLEY PVT BANK NA,4 BRITTANY LN,LEWES,2025-06-06,1350000,877500
66,CMORRIS CASTLE INC,UNITED WHOLESALE MORTGAGE LLC,34 N NEW ST,DOVER,2025-06-05,225000,168750
67,REIGN REALTY LLC,ARTISANS' BANK,2909 LANCASTER AVE,WILMINGTON,2025-06-05,485000,388000
68,J STEVENS CONSTRUCTION INC,KNOTHE MARY,6 WORRAL CT,NEWARK,2025-06-05,297575,387000
69,MORET PROPERTIES LLC,ROSS CAPITAL PARTNERS LLC,123 RODNEY DR,NEW CASTLE,2025-06-05,195000,235000
70,MID-ATLANTIC HOLDINGS LLC,S D MORTGAGE GROUP LLC,113 COMANCHE CIR,MILLSBORO,2025-06-05,299000,224250
71,KILEY ROSE PROPERTIES LLC,BPL MORTGAGE LLC,110 BIRCH AVE,WILMINGTON,2025-06-04,175000,140000
72,UNIFIED MINDS LLC,VISTA POINT MORTGAGE LLC,122 VINCENT CIR,MIDDLETOWN,2025-06-04,272501,204375
73,SALEM HVAC LLC,SHALLCROSS MORTGAGE COMPANY,204 KIAMENSI RD,WILMINGTON,2025-06-04,150000,260000
